_id,language,corpus_id,part_of_speech_id,lemma_id,word_text
4fe857a5-c283-4c5e-a34b-f7d3158b1baa,es,e293ef3c-db3f-447f-b59d-e0975c327f95,71100d4a-6dbf-400f-91d6-bef19d37af8a,9c4b7191-4277-4106-afa8-bac63e2424b6,nefandas
e9d36b0a-fa1a-492b-b292-466ab365735a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,d14f6932-2cee-4831-bb9a-134bdc86e573,aa25dbc1-f6cd-42dd-9dca-d0ae66298beb,denigraban
efa3ad0f-32b6-45fb-bcac-05d3ba44eb21,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ec1c2ed6-17f8-4bf3-b8b0-2434fb78e8ae,ae008361-4945-47a6-97c8-061fa46cfcb1,rasurados
3cc1be78-a709-423c-a0c3-14d2ed667a94,es,e293ef3c-db3f-447f-b59d-e0975c327f95,e73d0c4a-71e2-40dd-a790-daa4d737fc3a,ea277992-356d-41c9-8f22-b0faed0a796d,yaciera
188b341c-485f-42c5-a035-5db1e3e878d7,es,e293ef3c-db3f-447f-b59d-e0975c327f95,be067227-3db0-4b45-8b8a-a9d6c728e2e2,39d9d6af-6826-4993-a4b2-476277d55c5b,quejaran
d616e34f-9519-47f8-9aaf-85075f2f5529,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,8e30a09c-9dc1-4388-9f9e-6fcca4bcbc2f,Socrático
461f922b-20ae-4c8e-b720-97786e80fca4,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ec1c2ed6-17f8-4bf3-b8b0-2434fb78e8ae,9a83f060-f40f-4815-9abb-4a188262daef,criminalizados
c2848e06-07a8-413d-a2c2-c0a3dc7af65a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,be067227-3db0-4b45-8b8a-a9d6c728e2e2,b8ae2242-aaa3-4c37-867f-54f924fa4346,reivindicaran
e98a0fd4-2881-491c-8846-a305f5af7696,es,e293ef3c-db3f-447f-b59d-e0975c327f95,94e37d61-460d-4187-bfd9-7edb67150172,9a83f060-f40f-4815-9abb-4a188262daef,criminalizada
f200fa2c-c3a5-4bff-af19-9c82e5f11d3e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,e73d0c4a-71e2-40dd-a790-daa4d737fc3a,b8f0a3f3-0adb-4d38-ae9a-1d33af775067,instigase
f3707847-3d79-454c-bc67-35abef375ec8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,f1bb22e7-ecd1-4a6c-94b4-8ec2bee83ef8,771e79bd-8f00-4a69-885b-d70bf7d7b380,incite
e22d64d5-b8c8-469e-be2e-74cff7e21e0b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,bf41a86e-7e72-41e6-b04c-a741fc389d47,apadanas
71a172eb-6fec-4d1f-9294-78605914d3f9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,4afb7332-c148-4255-9040-78207471040d,Organized
bd97403f-cf25-42ec-9d8d-1edc0750118c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,c4c92dec-1a05-4cc0-b98d-ccbbb6518087,de938936-71d2-47bf-80c0-85465395e8a6,combatirás
00999fbf-f646-43aa-a1ad-3a7f8c5e7165,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,441806de-cf8a-4b5c-bf85-970938df31dc,Aleaciones
b7c5d2d4-548a-42a5-89a7-1039a101bd4c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,f3f97219-3117-48d7-8faf-97429419baa8,NNP
1eb084f1-0a15-47dc-a21f-05091eccf4fe,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,be775dce-e190-45f8-8a02-93c16030a9a7,Rhacophorus
221a8d89-5c67-4a4a-83a2-6823a7004711,es,e293ef3c-db3f-447f-b59d-e0975c327f95,e73d0c4a-71e2-40dd-a790-daa4d737fc3a,16bd22c6-bb6b-41e6-a6c7-d373f937db7c,asentase
860e9246-0fdf-4c9e-a446-021985ed221b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ac633486-7a0b-428b-88ff-60bd41cbbee0,3fe70698-d9fb-41a3-b462-d7933305806d,yeros
6f375371-31e5-44c9-8294-55a425acca65,es,e293ef3c-db3f-447f-b59d-e0975c327f95,7aae137e-76eb-4957-b3a3-f616e7f10494,bc49f039-004d-4068-9f89-708495e247d6,conservare
de64b69b-8a69-40e8-9b72-e4ae53740e27,es,e293ef3c-db3f-447f-b59d-e0975c327f95,b4bc6be3-2db0-4741-b3ea-3b85d5ea7c37,6d9a58d4-1f4a-4d11-9980-1b156be7edd4,Croma
0b716893-3692-4f22-962c-29678bec5208,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,a71c9caa-c3c5-46a6-ab8f-2bd776e8d200,Púgil
